,,T1,T2,T3,T4,T5,E,STD
20,f16,25.271611516645173,34.09747683996919,33.98802782785594,34.07751677886251,30.4364296348727,31.5742125196411,3.856074061869348
21,f17,80.0948981489279,90.50103847704071,49.28191651393517,98.28284138303479,72.21617290590859,78.07537348576943,18.909063864872667
22,f18,-3.558959062182218,-28.363622222623576,-5.467540538243809,-30.713603825929415,-7.695835574004769,-15.15991224459676,13.233403790882981
23,f19,-2.0126134573363457,-11.038377594248209,1.9298524801385994,-16.96997445672138,4.490841275242726,-4.720054350584922,9.03290992006135
24,f20,-47.152025890366744,-45.210955916218865,-46.96864991703944,-43.352214573098806,-41.5482213429984,-44.84641352794445,2.40121474546235
25,f21,-12.854461038732735,-12.62525193351974,-4.031417374204077,-16.372357266015285,-18.55911689315577,-12.888520901125522,5.5410181427309135
26,f22,-4.701903834640547,4.106902057034364,-1.0306141729928393,6.669237852376111,-6.023989305227644,-0.19607348069011116,5.491167143280378
27,f23,-23.069191195788992,-14.207852697599034,-13.578993171773687,-17.140261170158976,-25.376609747652658,-18.67458159659467,5.3033150597097
28,f24,2.045318507098902,2.60796576679443,-10.986170187210664,-7.496375487462623,4.362644234678501,-1.8933234332202908,6.873603324896412
29,f25,-1.4142335628902485,-0.5706665988069661,1.9768829694432453,-0.27857454915906327,3.4642466771324893,0.6355309871438913,2.0182228478067112
30,f26,25.314295763542663,24.124318389651485,22.657253259324758,32.48276982815799,26.55376674454758,26.226480797044893,3.782817140395569
31,f27,-6.537511721414048,6.9723751319087945,21.36251619579891,17.526673212085655,3.3261993510269137,8.530050433881247,11.20434342885251
32,f28,-16.55161763145524,-23.40621573124868,-31.457384262702295,-15.694775153899542,-12.438044972851198,-19.909607550431392,7.590167513700228
33,f29,-16.73270111715402,-14.175979624078279,-2.8320215086132574,-13.855839036171345,-2.5623453586095555,-10.03177732892529,6.788393367559778
34,f30,334.88253741084094,349.3887364746114,330.1564021279988,344.23836860921296,333.5985737963294,338.4529236837987,8.034426166109428
35,f31,34.65395641241576,44.41606220785211,39.55709185258605,39.91678006420809,37.16052103332741,39.140882314077885,3.6282607906400637
36,f32,-14.28550698444892,-18.28769015890763,-22.892032680649052,-17.618253769425706,-24.49198490130393,-19.515093698947048,4.142048445486213
37,f33,172.69747124642618,176.34707558027168,168.75565688929714,175.40796445385664,170.55288304655863,172.75221024328204,3.1932961969314038
38,f34,-14.673606717825438,-13.162122831643504,-14.27379710454197,-13.91826472622322,-13.938114028237846,-13.993181081694397,0.5570069690439795
39,f35,6.692952190694052,8.828290803657477,-1.9248080133548517,0.1395750510788816,10.939558445687798,4.935113695552671,5.575748776408414
40,f36,118.33076118814093,84.11413802538125,107.60169920192646,98.72984358935521,140.02514082295605,109.76031656555199,21.056290895335078
41,f37,-32.400870643089114,-34.56136292083871,-31.17488024598058,-33.221148204887754,-33.86941060687031,-33.04553452433329,1.315511938441336
42,f38,10.32258335736882,9.85335690484914,10.55159371949064,10.334548559130166,10.476555197507789,10.30772754766931,0.2717380300506358
43,f39,-4.7008481863167875,-5.354419540115314,-4.449015511564485,-4.274863443462031,-4.7892576584119695,-4.713680867974118,0.41201670411754165
44,f40,-4.659517717345239,-5.127978795639213,-4.751651736102977,-4.568854660740548,-4.844271341347836,-4.790454850235163,0.21481124671245388
45,f41,-4.552794781492021,-4.774016775385545,-4.633122415713041,-4.840746947046266,-5.044816542579141,-4.769099492443202,0.19134714691761867
46,f42,-3.560734634928432,-3.615939540989625,-3.530198427211431,-3.777423214336408,-3.8202678541226085,-3.6609127343177006,0.13049254380985614
47,f43,-3.592616595865983,-4.051593441614777,-3.401732761240446,-3.9583847754073327,-3.9899502699817226,-3.798855568822052,0.2855189237057222
48,f44,-3.2547047362212584,-4.104359330558211,-3.3164048661613017,-3.591127897281182,-3.823713032136936,-3.6180619724717777,0.354446192726359
49,f45,-4.6144663639134595,-4.825627717211255,-4.3689672847660574,-4.693203619180991,-5.090399886838498,-4.718532974382052,0.26618691343094447
50,f46,-4.9761881399910655,-5.043506481585528,-4.8928992139226954,-4.7972667208085955,-5.0706796862489005,-4.956108048511358,0.1122433522618929
51,f47,-3.5995878504307215,-4.088585561780133,-3.7857028695888513,-4.002438520637464,-3.7099287055988466,-3.8372487016072028,0.20359759819113724
52,f48,-4.366817863685354,-4.269748364287678,-4.290019812080778,-4.892026953085371,-4.954692914334227,-4.554661181494682,0.3392405234414457
53,f49,-3.309323469332081,-3.508120732805387,-3.432855518821257,-3.817252375672128,-3.686082303845368,-3.5507268800952447,0.20207763288810268
54,f50,-4.469977531602809,-4.810537725112205,-4.180029542868192,-4.668918082076574,-4.500871418568738,-4.526066860045704,0.23709322671852112
55,f51,-4.106387239386541,-4.93110839534593,-4.046035729520397,-4.0482841157618745,-4.519277719797838,-4.330218639962515,0.3896021471322753
56,f52,-4.9388893391520465,-4.908137967015332,-5.024991726824627,-5.109832437391358,-5.255449991137247,-5.047460292304121,0.14040405792783323
57,f53,-33.0702001556757,-33.8452200375694,-31.197466378687217,-33.50023281499729,-33.74325569896455,-33.071275017178834,1.089232951737468
